ticker,secShortName,outstanding,totals
000001,平安银行,171.7,171.7
000002,万 科Ａ,97.15,110.39
000004,国农科技,0.83,0.84
000005,世纪星源,9.51,10.59
000006,深振业Ａ,13.48,13.5
000007,全新好,3.09,3.46
000008,神州高铁,25.4,28.18
000009,中国宝安,21.2,21.49
000010,美丽生态,5.22,8.2
000011,深物业A,1.76,5.96
000012,南 玻Ａ,17.36,28.57
000014,沙河股份,2.02,2.02
000016,深康佳Ａ,15.97,24.08
000017,深中华A,3.03,5.51
000018,神州长城,7.53,16.98
000019,深深宝Ａ,4.16,4.97
000020,深华发Ａ,1.81,2.83
000021,深科技,14.69,14.71
000022,深赤湾Ａ,4.65,6.45
000023,深天地Ａ,1.39,1.39
000025,特 力Ａ,2.71,2.97
000026,飞亚达Ａ,3.57,4.39
000027,深圳能源,39.64,39.64
000028,国药一致,3.08,4.28
000029,深深房Ａ,8.92,10.12
000030,富奥股份,17.51,18.11
000031,中粮地产,18.14,18.14
000032,深桑达Ａ,2.79,4.13
000034,神州数码,3.58,6.54
000035,中国天楹,12.81,13.52
000036,华联控股,11.36,11.41
000037,深南电A,3.39,6.03
000038,深大通,1.8,5.23
000039,中集集团,12.68,29.85
000040,东旭蓝天,10.6,13.37
000042,中洲控股,4.85,6.65
000043,中航善达,6.67,6.67
000045,深纺织Ａ,4.57,5.11
000046,泛海控股,50.93,51.96
000048,*ST康达,3.85,3.91
000049,德赛电池,2.05,2.05
000050,深天马Ａ,14.01,20.48
000055,方大集团,6.78,11.55
000056,皇庭国际,2.86,11.75
000058,深 赛 格,5.38,12.36
000059,华锦股份,15.99,15.99
000060,中金岭南,35.68,35.7
000061,农 产 品,16.95,16.97
000062,深圳华强,6.67,7.21
000063,中兴通讯,34.34,41.93
000065,北方国际,6.29,7.7
000066,中国长城,24.91,29.36
000068,华控赛格,10.07,10.07
000069,华侨城Ａ,61.44,82.04
000070,特发信息,5.42,6.27
000078,海王生物,18.57,26.47
000088,盐 田 港,19.42,19.42
000089,深圳机场,20.51,20.51
000090,天健集团,9.28,14.37
000096,广聚能源,5.11,5.28
000099,中信海直,6.06,6.06
000100,TCL 集团,117.28,135.5
000150,宜华健康,5.26,6.27
000151,中成股份,2.67,2.96
000153,丰原药业,3.12,3.17
000155,川化股份,9.37,12.7
000156,华数传媒,12.8,14.33
000157,中联重科,62.26,77.94
000158,常山北明,16.24,16.53
000159,国际实业,4.81,4.81
000166,申万宏源,200.28,225.36
000301,东方市场,12.18,40.29
000333,美的集团,64.8,66.27
000338,潍柴动力,43.1,79.97
000400,许继电气,10.08,10.08
000401,冀东水泥,13.47,13.48
000402,金 融 街,29.88,29.89
000403,ST生化,2.65,2.73
000404,长虹华意,6.93,6.96
000407,胜利股份,7.46,8.8
000408,藏格控股,4.47,19.94
000409,*ST地矿,4.05,5.11
000410,沈阳机床,7.4,7.65
000411,英特集团,2.07,2.07
000413,东旭光电,40.95,57.3
000415,渤海金控,35.48,61.85
000416,民生控股,5.32,5.32
000417,合肥百货,7.79,7.8
000418,小天鹅Ａ,4.39,6.32
000419,通程控股,5.43,5.44
000420,吉林化纤,16.63,19.71
000421,南京公用,5.73,5.73
000422,*ST宜化,8.98,8.98
000423,东阿阿胶,6.54,6.54
000425,徐工机械,69.94,78.34
000426,兴业矿业,13.3,18.78
000428,华天酒店,7.19,10.19
000429,粤高速Ａ,4.69,20.91
000430,张家界,3.32,4.05
000488,晨鸣纸业,16.58,27.29
000498,山东路桥,4.41,11.2
000501,鄂武商Ａ,6.77,7.69
000502,绿景控股,1.83,1.85
000503,国新健康,8.99,8.99
000504,南华生物,3.11,3.12
000505,京粮控股,3.6,6.86
000506,中润资源,9.29,9.29
000507,珠海港,7.72,7.9
000509,华塑控股,8.25,8.25
000510,金路集团,5.49,6.09
000513,丽珠集团,4.59,7.19
000514,渝 开 发,8.44,8.44
000516,国际医学,19.33,19.71
000517,荣安地产,30.36,31.84
000518,四环生物,10.3,10.3
